date,end_date,name,country_code,year,status,date_status,source_urls
2028-01-01,,Confraternização Universal,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1940-1949/lei-662-6-abril-1949-347136-normaatualizada-pl.html https://www2.camara.leg.br/legin/fed/lei/2002/lei-10607-19-dezembro-2002-473572-publicacaooriginal-1-pl.html
2028-02-28,,Carnaval (segunda-feira),BR,2028,discretionary,estimated,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos
2028-02-29,,Carnaval (terça-feira),BR,2028,discretionary,estimated,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos
2028-03-01,,Quarta-Feira de Cinzas,BR,2028,discretionary,estimated,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos
2028-04-14,,Paixão de Cristo,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1995/lei-9093-12-setembro-1995-348594-publicacaooriginal-1-pl.html
2028-04-21,,Tiradentes,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1940-1949/lei-662-6-abril-1949-347136-normaatualizada-pl.html https://www2.camara.leg.br/legin/fed/lei/2002/lei-10607-19-dezembro-2002-473572-publicacaooriginal-1-pl.html
2028-05-01,,Dia Mundial do Trabalho,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1940-1949/lei-662-6-abril-1949-347136-normaatualizada-pl.html https://www2.camara.leg.br/legin/fed/lei/2002/lei-10607-19-dezembro-2002-473572-publicacaooriginal-1-pl.html
2028-06-15,,Corpus Christi,BR,2028,discretionary,estimated,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos
2028-09-07,,Independência do Brasil,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1940-1949/lei-662-6-abril-1949-347136-normaatualizada-pl.html https://www2.camara.leg.br/legin/fed/lei/2002/lei-10607-19-dezembro-2002-473572-publicacaooriginal-1-pl.html
2028-10-12,,Nossa Senhora Aparecida,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1980-1987/lei-6802-30-junho-1980-357065-publicacaooriginal-1-pl.html
2028-10-28,,Dia do Servidor Público federal,BR,2028,discretionary,estimated,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1990/lei-8112-11-dezembro-1990-322161-normaatualizada-pl.html
2028-11-02,,Finados,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1940-1949/lei-662-6-abril-1949-347136-normaatualizada-pl.html https://www2.camara.leg.br/legin/fed/lei/2002/lei-10607-19-dezembro-2002-473572-publicacaooriginal-1-pl.html
2028-11-15,,Proclamação da República,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1940-1949/lei-662-6-abril-1949-347136-normaatualizada-pl.html https://www2.camara.leg.br/legin/fed/lei/2002/lei-10607-19-dezembro-2002-473572-publicacaooriginal-1-pl.html
2028-11-20,,Dia Nacional de Zumbi e da Consciência Negra,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/2023/lei-14759-21-dezembro-2023-795091-publicacaooriginal-170522-pl.html
2028-12-24,,Véspera do Natal,BR,2028,discretionary,estimated,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos
2028-12-25,,Natal,BR,2028,statutory,confirmed,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos https://www2.camara.leg.br/legin/fed/lei/1940-1949/lei-662-6-abril-1949-347136-normaatualizada-pl.html https://www2.camara.leg.br/legin/fed/lei/2002/lei-10607-19-dezembro-2002-473572-publicacaooriginal-1-pl.html
2028-12-31,,Véspera do Ano Novo,BR,2028,discretionary,estimated,https://legis.sigepe.gov.br/sigepe-bgp-ws-legis/legis-service/download/?id=0026440285-ALPDF%2F2025 https://www.gov.br/mre/pt-br/eresp/feriados-e-pontos-facultativos
